,MODEL,F1_TRAIN,F1_TEST,ACC_TRAIN,  ACC_TEST  ,EPOCHS,Precision,Recall,Optimal_Threshold
0,"L= 2, N=10, LR=0.0001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.4267231239708304,0.4180790960451977,0.695375,0.691,23,0.3415384615384615,0.5388349514563107,0.2586807906627655
1,"L= 3, N=10, LR=0.0001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.4457720588235294,0.4412032816773017,0.6985,0.6935,22,0.3532846715328467,0.587378640776699,0.24937531352043152
2,"L= 4, N=10, LR=0.0001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.4591381872213967,0.456,0.727,0.728,22,0.3877551020408163,0.5533980582524272,0.24407821893692017
3,"L= 2, N=20, LR=0.0001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.6169912503528084,0.6144994246260069,0.830375,0.8325,70,0.5842450765864332,0.6480582524271845,0.27483558654785156
4,"L= 3, N=20, LR=0.0001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.48890921564143597,0.4676056338028169,0.720625,0.7165,22,0.38131699846860645,0.6043689320388349,0.23427987098693848
5,"L= 4, N=20, LR=0.0001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.4513715710723192,0.4341880341880342,0.67,0.669,21,0.33509234828496043,0.616504854368932,0.23439860343933105
6,"L= 2, N=10, LR=0.0001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.3878066914498141,0.38852361028093246,0.485375,0.4885,26,0.25773195876288657,0.7888349514563107,0.21542280912399292
7,"L= 3, N=10, LR=0.0001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.39143526262964196,0.37966101694915255,0.54525,0.5425,22,0.2634054562558796,0.6796116504854369,0.23820319771766663
8,"L= 4, N=10, LR=0.0001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.42756622516556286,0.41916167664670656,0.65425,0.6605,22,0.3236459709379128,0.5946601941747572,0.2562585771083832
9,"L= 2, N=20, LR=0.0001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.4379694969269292,0.4375,0.691375,0.694,22,0.3520710059171598,0.5776699029126213,0.24390196800231934
10,"L= 3, N=20, LR=0.0001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.4768423454255076,0.4611111111111111,0.713375,0.709,24,0.3727544910179641,0.6043689320388349,0.2452085018157959
11,"L= 4, N=20, LR=0.0001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.4505850136918098,0.4311377245508982,0.724125,0.715,22,0.36610169491525424,0.5242718446601942,0.2572728395462036
12,"L= 2, N=10, LR=0.0001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.5335071707953063,0.5341880341880342,0.776375,0.782,61,0.4770992366412214,0.6067961165048543,0.2558899521827698
13,"L= 3, N=10, LR=0.0001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.4312080536912752,0.42775510204081635,0.661,0.6495,22,0.32226322263222634,0.6359223300970874,0.2289511263370514
14,"L= 4, N=10, LR=0.0001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.47623485554520034,0.46816479400749067,0.719,0.716,21,0.38109756097560976,0.6067961165048543,0.23334845900535583
15,"L= 2, N=20, LR=0.0001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6080832823025107,0.5874999999999999,0.84,0.835,55,0.6056701030927835,0.5703883495145631,0.32692384719848633
16,"L= 3, N=20, LR=0.0001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6164339071126989,0.5944517833553501,0.852375,0.8465,62,0.6521739130434783,0.5461165048543689,0.3587970733642578
17,"L= 4, N=20, LR=0.0001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.49565433325055874,0.48834853090172237,0.746125,0.7475,21,0.4191304347826087,0.5849514563106796,0.2508840262889862
18,"L= 2, N=10, LR=0.0001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.4752917804817482,0.49255213505461765,0.735875,0.7445,26,0.41680672268907565,0.6019417475728155,0.25481560826301575
19,"L= 3, N=10, LR=0.0001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.4386649328131773,0.4186882300089847,0.67625,0.6765,24,0.33238231098430815,0.5655339805825242,0.2394377887248993
20,"L= 4, N=10, LR=0.0001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.42758620689655175,0.42168674698795183,0.6265,0.616,21,0.3056768558951965,0.6796116504854369,0.2106509506702423
21,"L= 2, N=20, LR=0.0001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.4634510193933367,0.4530612244897959,0.73025,0.732,33,0.3908450704225352,0.5388349514563107,0.23975858092308044
22,"L= 3, N=20, LR=0.0001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.47873074269947113,0.4727272727272728,0.716625,0.71,43,0.37790697674418605,0.6310679611650486,0.2442636787891388
23,"L= 4, N=20, LR=0.0001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.49386352479135986,0.48086359175662413,0.74225,0.7355,21,0.40362438220757824,0.5946601941747572,0.2431144416332245
24,"L= 2, N=10, LR=0.0001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.4286031534532534,0.4190647482014388,0.678375,0.677,26,0.33285714285714285,0.5655339805825242,0.25180259346961975
25,"L= 3, N=10, LR=0.0001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.40427719514702865,0.36807817589576547,0.637875,0.612,23,0.2769607843137255,0.5485436893203883,0.23552793264389038
26,"L= 4, N=10, LR=0.0001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.44658971668415526,0.4549214226633582,0.670375,0.6705,23,0.3450439146800502,0.6674757281553398,0.24565380811691284
27,"L= 2, N=20, LR=0.0001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.5193532582067614,0.4965786901270772,0.75475,0.7425,31,0.4157119476268412,0.616504854368932,0.25354623794555664
28,"L= 3, N=20, LR=0.0001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.539610225259428,0.530901722391084,0.772625,0.7685,61,0.45565217391304347,0.6359223300970874,0.2628825008869171
29,"L= 4, N=20, LR=0.0001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6170895304753572,0.5971563981042655,0.835875,0.83,62,0.5833333333333334,0.6116504854368932,0.2615021765232086
30,"L= 2, N=10, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.4312408146126391,0.4316423043852107,0.661375,0.6695,27,0.33422103861517977,0.6092233009708737,0.2669835686683655
31,"L= 3, N=10, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.41394422310756973,0.40927258193445243,0.63225,0.6305,22,0.30512514898688914,0.6213592233009708,0.24938082695007324
32,"L= 4, N=10, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.37154737154737155,0.3666469544648137,0.471,0.4645,21,0.24237685691946834,0.7524271844660194,0.2402580976486206
33,"L= 2, N=20, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.4575079872204473,0.4234309623430962,0.681625,0.6555,22,0.3231162196679438,0.6140776699029126,0.23030969500541687
34,"L= 3, N=20, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.46702870442203265,0.4867162592986185,0.742375,0.7585,22,0.43289224952741023,0.5558252427184466,0.28211086988449097
35,"L= 4, N=20, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.44815588030619347,0.4386129334582943,0.702625,0.7005,21,0.35725190839694654,0.5679611650485437,0.2480805218219757
36,"L= 2, N=10, LR=0.0001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.5353788353162179,0.4981226533166458,0.8145,0.7995,58,0.5142118863049095,0.4830097087378641,0.3383105397224426
